_id,Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount
131,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,7-Revenues,8503,Paid duty - equipment rental,31600
132,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,7-Revenues,8519,Recoveries - Prisoner Return,479400
133,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,One-time Projects,One-time Projects,COVID19,7-Revenues,8507,Sale - accident reports,238700
134,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,1-Salaries,1504,Regular salaries - Uniform,1049700
135,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,197200
136,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,3-Benefits,1764,CPP - Uniform,34200
137,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,3-Benefits,1744,EI - Uniform,11700
138,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Modernization and Reform Initiatives,3-Benefits,1773,OMERS - Uniform,155900
139,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,3-Benefits,1717,Central sick bank (Association),7811000
140,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,3-Benefits,1719,Health care benefits - retiree,3332700
141,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,3-Benefits,1960,Sick Pay Credit Grant,17030300
142,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4013,Bargaining expenses,150000
143,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4091,Consulting - External lawyers / planners,150000
144,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4424,Contracted Services - general,5000000
145,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,6020,Contribution to Reserve - general,930000
146,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,6021,Contribution to Reserve - Vehicle and Equipment,20766000
147,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,6030,Contribution to Reserve Funds - general,2016700
148,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,6032,Contribution to Reserve Funds - sick leave,12282600
149,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4011,Legal indemnification/inquests,2430300
150,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,6-Services,4010,Professional / technical services - legal,540000
151,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,7-Revenues,9260,Draws from Reserve Funds,-28174000
152,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1582,Overtime premium pay - Civilian,4200
